"label","id_occupation"
"rental service representative in other machinery, equipment and tangible goods","009d29de-5872-43be-8d9b-abd27f8c99f1"
"rental sales supervisor in other machinery, equipment and tangible goods","009d29de-5872-43be-8d9b-abd27f8c99f1"
"rental sales assistant in other machinery, equipment and tangible goods","009d29de-5872-43be-8d9b-abd27f8c99f1"
"mining surveyor","00ab29a3-6d4a-4df9-b46d-de31069e36e8"
"mine operations surveyor","00ab29a3-6d4a-4df9-b46d-de31069e36e8"
"mine plan maker","00ab29a3-6d4a-4df9-b46d-de31069e36e8"
"mine records keeper","00ab29a3-6d4a-4df9-b46d-de31069e36e8"
"mine surveyor","00ab29a3-6d4a-4df9-b46d-de31069e36e8"
"mine surveyors","00ab29a3-6d4a-4df9-b46d-de31069e36e8"
"planner of mining operations","00ab29a3-6d4a-4df9-b46d-de31069e36e8"
"mine planning surveyor","00ab29a3-6d4a-4df9-b46d-de31069e36e8"
"food production quality controller","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"trainee food safety specialist","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"food safety controller","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"senior food safety specialist","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"food scientist","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"food safety monitor","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"food safety advisor","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"food safety technician","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"food compliance manager (food safety)","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"assistant food safety specialist","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"HACCP compliance manager","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"food safety specialist","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"food safety consultant","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"technical manager for food safety","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"food hygiene specialist","00ab5610-e715-428f-99f6-b1e5e469dbcd"
"food quality controller","00ab5610-e715-428f-99f6-b1e5e469dbcd"
