comune,num_residenti,P
Campello sul Clitunno,2520.0,0.0002685137571744851
Lozzolo,827.0,8.811939570765841e-05
Paciano,998.0,0.00010633997208735562
Mirandola,23785.0,0.0025343649660298133
Simala,354.0,3.771978969832053e-05
Broccostella,2832.0,0.00030175831758656426
Rovello Porro,6118.0,0.0006518917326958334
Calascio,127.0,1.35322409369681e-05
Castelluccio Valmaggiore,1304.0,0.0001389452140299717
Osmate,792.0,8.43900379691239e-05
Sale delle Langhe,512.0,5.4555176060847774e-05
Arguello,201.0,2.1417168727012507e-05
San Martino sulla Marrucina,952.0,0.00010143853048813884
Montecreto,994.0,0.00010591375977438025
Traona,2578.0,0.00027469383571262807
Luino,14244.0,0.001517742046505304
Galliera,5494.0,0.0005854026118716751
Saonara,10137.0,0.0010801285541578397
Saliceto,1371.0,0.0001460842702723092
Padria,687.0,7.320196475352035e-05
Vidor,3791.0,0.00040394271962240996
San Paolo d'Argon,5490.0,0.0005849763995586998
Oriolo,2319.0,0.00024709658844747264
Calvi,2619.0,0.00027906251192062563
Camugnano,1948.0,0.00020756539641900677
Villamaina,1006.0,0.00010719239671330637
Chianche,527.0,5.615347223450542e-05
Triora,387.0,4.123604128036736e-05
Soliera,15167.0,0.0016160905377243715
Santa Cristina d'Aspromonte,993.0,0.0001058072066961364
Palmi,18692.0,0.001991690138533919
Buonvicino,2323.0,0.000247522800760448
Piatto,543.0,5.785832148640692e-05
Trequanda,1319.0,0.00014054351020362932
Pozzuolo Martesana,8190.0,0.0008726697108170767
Fiumefreddo Bruzio,3026.0,0.00032242961476586983
Tufino,3774.0,0.00040213131729226464
Sant'Angelo Romano,4575.0,0.00048748033296558315
Galliate,15256.0,0.0016255737616880735
Voltido,403.0,4.294089053226886e-05
Vignolo,2517.0,0.0002681940979397536
Porto Viro,14576.0,0.0015531176684822601
Pietramelara,4724.0,0.0005033567416239158
Paderno d'Adda,3897.0,0.0004152373459162574
Lubriano,915.0,9.749606659311663e-05
